="Table 1: Descriptive Statistics, 1981–2023"
="",="(1)",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",=""
="",="count",="mean",="sd",="min",="p25",="p50",="p75",="max"
="Log of permanent emigrants",="43",="10.44845",=".4065645",="8.78554",="10.44001",="10.57449",="10.62891",="10.81017"
="Log of PH GDP per capita (current USD)",="43",="7.257703",=".5903942",="6.396935",="6.724477",="7.089945",="7.930666",="8.24383"
="PH gov consumption share (PPP)",="43",=".1515585",=".0360346",=".0855042",=".1177081",=".1505357",=".1869265",=".1973277"
="PH labor income share of GDP",="43",=".4345261",=".0209312",=".3760141",=".4239557",=".4403513",=".4424427",=".4691904"
="Log of US GDP per capita (current USD)",="43",="10.49368",=".4822755",="9.545104",="10.09997",="10.54528",="10.88142",="11.3026"
="US gov consumption share (PPP)",="43",=".1103307",=".0097252",=".0911875",=".1029186",=".1123138",=".1172332",=".124858"
="US labor income share of GDP",="43",=".6054013",=".0156364",=".5683027",=".5908852",=".6056392",=".6159726",=".6403342"
="Log of PHP/USD exchange rate",="43",="3.521477",=".511773",="2.066818",="3.239168",="3.768456",="3.920065",="4.026064"
